window_label,window_start_index,window_stop_index,time0,time1,interval_count,omega0,omega1,delta_omega,relative_delta_omega,S0_all_positive,S1_all_positive,delta_S_all_positive,relative_delta_S,A0_positive_point_count_proxy,A1_positive_point_count_proxy,delta_A_proxy,relative_delta_A,N0_active_locmax,N1_active_locmax,delta_N_active_locmax,relative_delta_N,positive_stretch_loss_proxy,loss_to_S_growth,B_patch_negative_proxy0,B_patch_negative_proxy1,delta_B_patch_negative_proxy,relative_delta_B_patch_negative_proxy,B_outside_active_measured,growth_condition,no_expansion_condition,low_loss_proxy_condition,no_B_compensation_condition,growth_without_active_expansion,proxy_REAL_NS_candidate,decisive_REAL_NS_candidate
w2_09_11,9,11,0.2200000000000001,0.2600000000000002,2,275.43486493151386,320.8315228443977,45.396657912883825,0.164818124692281,1530085.6473564203,1536504.5740383535,6418.926681933226,0.004195142077846046,402468.0,402558.0,90.0,0.00022362026297742925,14178.0,14218.0,40.0,0.002821272393849626,1262167.7375196575,196.6322097231874,,,,,False,False,True,False,False,False,False,False
w2_10_12,10,12,0.2400000000000001,0.2800000000000002,2,255.6329131419317,247.6282613652529,-8.004651776678799,-0.03131307185094151,1530588.8002584074,1537190.1019704218,6601.30171201448,0.004312916513501203,402338.0,402346.0,8.0,1.9883779309933438e-05,14344.0,14278.0,-66.0,-0.004601226993865031,1265775.4841552333,191.74634630795632,,,,,False,False,True,False,False,False,False,False
w2_11_13,11,13,0.2600000000000002,0.3000000000000002,2,320.8315228443977,289.52088750781803,-31.31063533657965,-0.09759214137996414,1536504.5740383535,1540824.821398042,4320.247359688394,0.002811737389322314,402558.0,402187.0,-371.0,-0.0009216063275354111,14218.0,14191.0,-27.0,-0.001899001266000844,1269058.6267305552,293.7467513022422,,,,,False,False,True,False,False,False,False,False
w2_12_14,12,14,0.2800000000000002,0.3200000000000002,2,247.6282613652529,266.0966907302475,18.468429364994563,0.07458126654515229,1537190.1019704218,1546757.0670477478,9566.965077325935,0.006223670751628363,402346.0,402377.0,31.0,7.704811281832055e-05,14278.0,14155.0,-123.0,-0.008614651912032497,1270638.2785080804,132.8151893769886,,,,,False,False,True,False,False,False,False,False
w3_00_03,0,3,0.04,0.1,3,297.3311316263139,260.3630040232429,-36.96812760307097,-0.12433318839122623,1502915.5593705634,1513446.7457394695,10531.186368906172,0.007007171030498042,403238.0,402563.0,-675.0,-0.0016739493797707557,14126.0,14244.0,118.0,0.008353390910378027,1844480.707145094,175.14462687613343,,,,,False,False,True,False,False,False,False,False
w3_01_04,1,4,0.06,0.12,3,240.63499198850255,242.9494541007661,2.3144621122635556,0.009618144448310908,1504167.878030174,1516549.717647906,12381.839617731981,0.008231687299390392,403077.0,403008.0,-69.0,-0.00017118317343832568,14186.0,14254.0,68.0,0.004793458339207669,1850553.0098551211,149.45703279866038,,,,,False,False,True,False,False,False,False,False
w3_02_05,2,5,0.08,0.14,3,223.7373093578171,347.81452198923074,124.07721263141363,0.5545664823964619,1509053.5559003092,1519007.8744144023,9954.318514093058,0.006596398434748898,402870.0,402952.0,82.0,0.0002035396033459925,14214.0,14158.0,-56.0,-0.003939777683973547,1859494.3267321845,186.80277550889718,,,,,False,False,True,False,False,False,False,False
w3_03_06,3,6,0.1,0.1600000000000001,3,260.3630040232429,260.9477964518059,0.5847924285629915,0.0022460657602137147,1513446.7457394695,1520817.864693473,7371.118954003556,0.004870418450304989,402563.0,402793.0,230.0,0.0005713391444320516,14244.0,14301.0,57.0,0.004001684919966301,1866412.4059384887,253.20611668120807,,,,,False,False,True,False,False,False,False,False
w3_04_07,4,7,0.12,0.1800000000000001,3,242.9494541007661,249.5204810561763,6.57102695541019,0.02704688915532521,1516549.717647906,1520818.0367824803,4268.3191345743835,0.0028144933759206635,403008.0,402464.0,-544.0,-0.0013498491345084961,14254.0,14145.0,-109.0,-0.007646976287357935,1871268.9140149644,438.40885721436536,,,,,False,False,True,False,False,False,False,False
w3_05_08,5,8,0.14,0.2000000000000001,3,347.81452198923074,260.8772514347436,-86.93727055448716,-0.2499529636004645,1519007.8744144023,1526489.9652663814,7482.090851979097,0.004925643229376637,402952.0,402645.0,-307.0,-0.0007618773451924795,14158.0,14190.0,32.0,0.0022602062438197485,1873444.8441621726,250.3905500782078,,,,,False,False,True,False,False,False,False,False
w3_06_09,6,9,0.1600000000000001,0.2200000000000001,3,260.9477964518059,275.43486493151386,14.487068479707943,0.05551711367826607,1520817.864693473,1530085.6473564203,9267.782662947197,0.006093946473212396,402793.0,402468.0,-325.0,-0.0008068660577517484,14301.0,14178.0,-123.0,-0.008600797147052653,1878185.5170166665,202.6574840307482,,,,,False,False,True,False,False,False,False,False
w3_07_10,7,10,0.1800000000000001,0.2400000000000001,3,249.5204810561763,255.6329131419317,6.112432085755415,0.024496714898442667,1520818.0367824803,1530588.8002584074,9770.763475927059,0.0064246762200418014,402464.0,402338.0,-126.0,-0.00031307147968513954,14145.0,14344.0,199.0,0.01406857546836338,1883722.871807532,192.79177890741056,,,,,False,False,True,False,False,False,False,False
w3_08_11,8,11,0.2000000000000001,0.2600000000000002,3,260.8772514347436,320.8315228443977,59.9542714096541,0.22981793575301904,1526489.9652663814,1536504.5740383535,10014.608771972125,0.0065605467443898445,402645.0,402558.0,-87.0,-0.00021607122899824907,14190.0,14218.0,28.0,0.001973220577871741,1890475.9570629639,188.77182325422805,,,,,False,False,True,False,False,False,False,False
w3_09_12,9,12,0.2200000000000001,0.2800000000000002,3,275.43486493151386,247.6282613652529,-27.806603566260947,-0.10095527874866163,1530085.6473564203,1537190.1019704218,7104.454614001559,0.004643174469531271,402468.0,402346.0,-122.0,-0.00030312968981384853,14178.0,14278.0,100.0,0.0070531809846240655,1896980.7042360094,267.0128542305574,,,,,False,False,True,False,False,False,False,False
w3_10_13,10,13,0.2400000000000001,0.3000000000000002,3,255.6329131419317,289.52088750781803,33.88797436588632,0.13256498918459356,1530588.8002584074,1540824.821398042,10236.02113963454,0.006687636246852457,402338.0,402187.0,-151.0,-0.00037530633447499366,14344.0,14191.0,-153.0,-0.010666480758505298,1900021.1441694365,185.6210648894062,,,,,False,False,True,False,False,False,False,False
w3_11_14,11,14,0.2600000000000002,0.3200000000000002,3,320.8315228443977,266.0966907302475,-54.73483211415021,-0.1706030368490207,1536504.5740383535,1546757.0670477478,10252.493009394268,0.006672608193054653,402558.0,402377.0,-181.0,-0.0004496246503609418,14218.0,14155.0,-63.0,-0.004431002954001969,1905451.2452244323,185.8524793412182,,,,,False,False,True,False,False,False,False,False
